,Name,Link,Author,Description,,Content Type,Solution Type Mapping,Reference Architecture Tag,Solution Center Associated,Future Status of Solution,Industries,Language,Category 1,Categories 1a,Categories 1a,OG Categories,Category 2,Category 2a,Category 2a,OG Categories,Category 3,Category 3a,Category 3a,,,,,,,,,Status,Date Published,Date Updated,Updated by
building-geospatial-mult-layer-apps-with-snowflake-and-streamlit,Building Geospatial Multi Layer Apps with Snowflake and Streamlit,https://quickstarts.snowflake.com/guide/building-geospatial-mult-layer-apps-with-snowflake-and-streamlit/index.html,Becky O’Connor,"In this hands-on lab, you'll learn how to analyze and transform geospatial data in Snowflake, progressing from visualizing points on a map to building a multi-layer streamlit app.",Data-Sharing,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Analytics,snowflake-site:taxonomy/product/analytics,,Streamlit,Analytics: Applied Analytics,snowflake-site:taxonomy/snowflake-feature/applied-analytics,,,Analytics - Geospatial,,,,,,,,,,,Published,"Mar 12, 2025","Jun 13, 2025",sfc-gh-boconnor
security_analytics_with_wiz_and_snowflake,Security Analytics with Wiz and Snowflake,https://quickstarts.snowflake.com/guide/security_analytics_with_wiz_and_snowflake/index.html,Guy Mast,learn about the Wiz and Snowflake integration for analyzing Wiz data in Snowflake,Cybersecurity,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Platform,snowflake-site:taxonomy/product/platform,,,"""Platform: Compliance, Security, Discovery & Governance"", Partner",snowflake-site:taxonomy/snowflake-feature/compliance-security-discovery-governance,,Partner Integrations,,,,,,,,,,,,Published,"Jul 11, 2024","Jun 16, 2025",sfc-gh-smorris
finding-fraudulent-communities-with-neo4j,Finding Fraudulent Communities With Neo4j,https://quickstarts.snowflake.com/guide/finding-fraudulent-communities-with-neo4j/index.html,corydon baylor,How to find communities affected by fraud using louvain in Neo4j Graph Analytics for Snowflake,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Platform,snowflake-site:taxonomy/product/platform,,Partner Integrations,"""Platform: Compliance, Security, Discovery & Governance"", Partner",snowflake-site:taxonomy/snowflake-feature/compliance-security-discovery-governance,,,,,,,,,,,,,,Published,"May 16, 2025","Jun 16, 2025",davidfauth
getting-started-with-cortex-aisql,Getting Started with Cortex AISQL,https://quickstarts.snowflake.com/guide/getting-started-with-cortex-aisql/index.html,Dash Desai,This guide outlines the process for getting started with Cortex AISQL.,ML,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/certified-solution,snowflake-site:taxonomy/solution-center/includes/architecture,https://www.snowflake.com/en/developers/solutions-center/using-cortex-aisql-with-multimodal-data/,Remove,,en,AI,snowflake-site:taxonomy/product/ai,,Getting Started,,,,Data Science,AI - Cortex LLM,snowflake-site:taxonomy/snowflake-feature/cortex-llm-functions,,App Development,,,,,,,,Published,"May 29, 2025","Jun 18, 2025",iamontheinet
getting-started-with-automl-openfe-and-autogluon,Getting Started with AutoML OpenFE and AutoGluon,https://quickstarts.snowflake.com/guide/getting-started-with-automl-openfe-and-autogluon/index.html,Eric Gudgion,Using OpenFE and AutoGluon to create features for machine learning in a Snowflake Container Notebook.,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Applications & Collaboration,snowflake-site:taxonomy/product/applications-and-collaboration,,,,,,,,,,,,,,,,,,Published,"Jun 18, 2025","Jun 18, 2025",sfc-gh-egudgion
xml-processing-snowpark,Modernize XML Processing for Financial Services with Snowpark XML,https://quickstarts.snowflake.com/guide/xml-processing-snowpark/index.html,Constantin Stanca,Snowflake guide on how to process XML with Snowpark,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,snowflake-site:taxonomy/industry/financial-services,en,Platform,snowflake-site:taxonomy/product/platform,,,,,,,,,,,,,,,,,,Published,"Jun 19, 2025","Jun 19, 2025",Data4Systems
xml-processing-sql,Modernize XML Processing for Financial Services with SQL XML Functions,https://quickstarts.snowflake.com/guide/xml-processing-sql/index.html,Constantin Stanca,Snowflake guide on how to process XML with SQL,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,snowflake-site:taxonomy/industry/financial-services,en,Platform,snowflake-site:taxonomy/product/platform,,,,,,,,,,,,,,,,,,Published,"Jun 19, 2025","Jun 19, 2025",Data4Systems
tasty_bytes_customer_experience_app,Tasty Bytes Enhance Customer Experience Using Unstructured Data,https://quickstarts.snowflake.com/guide/tasty_bytes_customer_experience_app/index.html,Charlie Hammond,"This application supports Tasty Bytes management by analyzing both customer reviews and food truck inspections, streamlining communication with truck owners to improve the overall customer experience.",Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,Tasty Bytes,,,,Cortex,,,,,,,,,,,,Published,"Jun 25, 2024","Jun 20, 2025",sfc-gh-chammond
gain_insights_from_unstructured_data,Gain Insights From Unstructured Data using Snowflake Cortex,https://quickstarts.snowflake.com/guide/gain_insights_from_unstructured_data/index.html,James Cha-Earley,Gain Insights From Unstructured Data with Snowflake Cortex,Data Science,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,AI,snowflake-site:taxonomy/product/ai,,Gen AI,AI: Unstructured Data Insights,snowflake-site:taxonomy/snowflake-feature/unstructured-data-analysis,,AI,AI - Cortex LLM,snowflake-site:taxonomy/snowflake-feature/cortex-llm-functions,,cortex,,,,,,,,Published,"Dec 11, 2024","Jun 20, 2025",jamescha-earley
getting_started_with_snowflake_arctic,A Getting Started Guide With Snowflake Arctic and Snowflake Cortex,https://quickstarts.snowflake.com/guide/getting_started_with_snowflake_arctic/index.html,Dash Desai,This guide provides the instructions for writing a Streamlit application that uses Snowflake Arctic for custom tasks like summarizing long-form text into JSON formatted output using prompt engineering and Snowflake Cortex task-specific LLM functions to perform operations like translate text between languages or score the sentiment of a piece of text.,,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,"Applications & Collaboration, Data Engineering",snowflake-site:taxonomy/product/data-engineering,snowflake-site:taxonomy/product/applications-and-collaboration,Getting Started,,,,Data Engineering,,,,App Development,,,,,,,,Archived,"Aug 30, 2024","Jun 23, 2025",iamontheinet
integrate_snowflake_cortex_agents_with_slack,Getting Started with Cortex Agents and Slack,https://quickstarts.snowflake.com/guide/integrate_snowflake_cortex_agents_with_slack/index.html,Dash Desai,This guide outlines the process for integrating Snowflake Cortex Agents with Slack.,AI,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,"AI, Applications & Collaboration",snowflake-site:taxonomy/product/ai,snowflake-site:taxonomy/product/applications-and-collaboration,Getting Started,AI: Conversational Assistants,snowflake-site:taxonomy/snowflake-feature/ingestion/conversational-assistants,,App Development,,,,Data Science,Gen AI,Data Science,cortex,,,,,Published,"Feb 19, 2025","Jun 23, 2025",iamontheinet
analyze_pdf_invoices_java_udf_snowsight,Analyze PDF Invoices using Snowpark for Java and Python,https://quickstarts.snowflake.com/guide/analyze_pdf_invoices_snowpark_python_java/index.html,"Scott Teal, Saurin Shah, Mauricio Rojas Fernandez",This is a guide to get familiar with Snowflake's support for unstructured data,Data Science,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,Data Engineering,,,,architecture-patterns,,,,ML,,,,,,,,Archived,"Apr 15, 2022","Jun 24, 2025",kanwalzs
getting-started-with-time-series-analytics-with-pricing-data-on-snowflake,Getting Started with Time Series Analytics with Pricing Data on Snowflake,https://quickstarts.snowflake.com/guide/getting-started-with-time-series-analytics-with-pricing-data-on-snowflake/index.html,Swathi Jasti,Getting Started with Time Series Analytics with Pricing Data on Snowflake,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/certified-solution,snowflake-site:taxonomy/solution-center/includes/architecture,https://www.snowflake.com/en/developers/solutions-center/time-series-analytics-with-pricing-data-on-snowflake/,Remove,,en,Analytics,snowflake-site:taxonomy/product/analytics,,Time-Series,,,,Notebooks,,,,,,,,,,,,Published,"Aug 26, 2024","Jun 24, 2025",sfc-gh-chammond
snowflake-semantic-view,Getting Started with Snowflake Semantic View,https://quickstarts.snowflake.com/guide/snowflake-semantic-view/index.html,Chanin Nantasenamat,"Learn how to create and query Snowflake Semantic Views to enhance AI-powered Business Intelligence and conversational analytics with a consistent, database-native semantic layer.",Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,"AI, Applications & Collaboration",snowflake-site:taxonomy/product/ai,snowflake-site:taxonomy/product/applications-and-collaboration,Data Engineering,,,,AI,,,,,,,,,,,,Published,"Jun 2, 2025","Jun 24, 2025",sfc-gh-cnantasenamat
getting-started-with-snowflake-cortex-ai,Getting Started With Snowflake Cortex AI,https://quickstarts.snowflake.com/guide/getting-started-with-snowflake-cortex-ai/index.html,Dash Desai,This guide provides the instructions for getting started with Snowflake Cortex AI.,Cortex,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,AI,snowflake-site:taxonomy/product/ai,,Getting Started,,,,App Development,AI - Cortex LLM,snowflake-site:taxonomy/snowflake-feature/cortex-llm-functions,,Data Science,Gen AI,AI,,,,,,Published,"Jun 23, 2025","Jun 24, 2025",iamontheinet
viewing-location-data-on-an-interactive-map,Viewing Location Data on an Interactive Map,https://quickstarts.snowflake.com/guide/viewing-location-data-on-an-interactive-map/index.html,Carston Hernke,This guide walks you through creating an interactive map visualization to analyze location data using the Honeycomb Maps native app.,data-visualization,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/partner-solution,snowflake-site:taxonomy/solution-center/includes/architecture,https://www.snowflake.com/en/developers/solutions-center/honeycomb-maps/,Remove,,en,Applications & Collaboration,snowflake-site:taxonomy/product/applications-and-collaboration,,Partner Integrations,"Apps & Collab: External Collaboration, Partner",snowflake-site:taxonomy/snowflake-feature/external-collaboration,,,Apps & Collab - Native Apps,snowflake-site:taxonomy/snowflake-feature/native-apps,,,,,,,,,,Published,"Jun 25, 2025","Jun 25, 2025",carstonhernke
intro_to_machine_learning_with_snowpark_ml_for_python,Getting Started with ML Development in Snowflake,https://quickstarts.snowflake.com/guide/intro_to_machine_learning_with_snowpark_ml_for_python/index.html,sikha-das,"Through this quickstart guide, you will explore Snowflake for Machine Learning.",Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/certified-solution,snowflake-site:taxonomy/solution-center/includes/architecture,https://www.snowflake.com/en/developers/solutions-center/getting-started-with-snowflake-ml-in-notebooks/,Remove,,en,"Platform, AI",snowflake-site:taxonomy/product/ai,snowflake-site:taxonomy/product/platform,,Analytics: Migrations,snowflake-site:taxonomy/snowflake-feature/migrations,,,,,,,,,,,,,,Published,"Jan 22, 2024","Jun 26, 2025",sfc-gh-sidas
build-agentic-application-in-snowflake,Build Agentic Application with Anthropic In Snowflake,https://quickstarts.snowflake.com/guide/build-agentic-application-in-snowflake/index.html,"Dash Desai, Carlos Carrero","In this hands-on lab, you'll learn how to build a Data Agent using Snowflake Cortex AI that can intelligently respond to questions by reasoning over both structured and unstructured data.",,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,AI,snowflake-site:taxonomy/product/ai,,,"AI: Unstructured Data Insights, Apps & Collab: Build",snowflake-site:taxonomy/snowflake-feature/unstructured-data-analysis,,,AI - Cortex LLM,snowflake-site:taxonomy/snowflake-feature/cortex-llm-functions,,,,,,,,,,Published,"May 29, 2025","Jun 26, 2025",iamontheinet
snowpark-container-services-model-serving-guide,Getting Started with Model Serving in Snowpark Container Services,https://quickstarts.snowflake.com/guide/snowpark-container-services-model-serving-guide/index.html,Adrian,Learn how to build and deploy a machine learning model for real-time inference using Snowpark Container Services and the Snowflake Model Registry.,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,AI,snowflake-site:taxonomy/product/ai,,Data Science,AI: Model Development,snowflake-site:taxonomy/snowflake-feature/model-development,,ML,"AI - ML Functions, AI - SPCS CPU",snowflake-site:taxonomy/snowflake-feature/ml-functions,snowflake-site:taxonomy/snowflake-feature/snowpark-container-services,,,,,,,,,Published,"Jun 18, 2025","Jun 26, 2025",sfc-gh-adlee
financial-services-asset-management-snowflake,Financial Services Asset Management,https://quickstarts.snowflake.com/guide/financial-services-asset-management-snowflake/index.html,Allen Wong,Financial Services Asset Management Demo,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,snowflake-site:taxonomy/industry/financial-services,en,Platform,snowflake-site:taxonomy/product/platform,,,Platform: Financial Operations,snowflake-site:taxonomy/snowflake-feature/financial-operations,,,,,,,,,,,,,,Archived,"Jun 2, 2023","Jun 27, 2025",kanwalzs
getting_started_with_amg_and_streamlit_on_real-time_dashboarding,Getting Started with Amazon Managed Service for Grafana and Streamlit On Real time Dashboarding,https://quickstarts.snowflake.com/guide/getting_started_with_amg_and_streamlit_on_real-time_dashboarding/index.html,James Sun,This guide will walk you through how to build real-time dashboards with AMG and Streamlit to track data ingested by Snowpipe Streaming,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,AI,snowflake-site:taxonomy/product/ai,,,,,,,DE - Snowpipe Streaming,snowflake-site:taxonomy/snowflake-feature/snowpipe-streaming,,,,,,,,,,Archived,"Aug 15, 2023","Jun 27, 2025",kanwalzs
analyzing_sap_ap_with_nttdata_nativeapp_and_fivetran,Analyzing SAP Accounts Payables with NTT DATA s Snowflake Native App and Fivetran,https://quickstarts.snowflake.com/guide/analyzing_sap_ap_with_nttdata_nativeapp_and_fivetran/index.html,Ripu Jain,This is the Fivetran NTT SAP AP Guide,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Applications & Collaboration,snowflake-site:taxonomy/product/applications-and-collaboration,,,Apps & Collab: Build,snowflake-site:taxonomy/snowflake-feature/build,,,Apps & Collab - Native Apps,snowflake-site:taxonomy/snowflake-feature/native-apps,,,,,,,,,,Archived,"Oct 20, 2023","Jun 27, 2025",kanwalzs
tasty_bytes_native_app,Tasty Bytes Snowflake Native Application,https://quickstarts.snowflake.com/guide/tasty_bytes_native_app/index.html,"Gilberto Hernandez, Charlie Hammond",This is a Quickstart on how to build a Snowflake Native Application with Tasty Bytes.,Native Applications,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Applications & Collaboration,snowflake-site:taxonomy/product/applications-and-collaboration,,,Apps & Collab: Build,snowflake-site:taxonomy/snowflake-feature/build,,,Apps & Collab - Native Apps,snowflake-site:taxonomy/snowflake-feature/native-apps,,,,,,,,,,Archived,"Jan 29, 2024","Jun 27, 2025",kanwalzs
build_llm_app_nvidia_scs,Build LLM App Powered By NVIDIA on Snowpark Container Services,https://quickstarts.snowflake.com/guide/build_llm_app_nvidia_scs/index.html,"Karuna Nadadur, Kamesh Sampath",Build LLM App Powered By NVIDIA on Snowpark Container Services,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,AI,snowflake-site:taxonomy/product/ai,,LLM,AI: Model Development,snowflake-site:taxonomy/snowflake-feature/model-development,,Snowpark-contAIner-services,AI - ML Functions,snowflake-site:taxonomy/snowflake-feature/ml-functions,snowflake-site:taxonomy/snowflake-feature/snowpark-container-services,nvidia,-native-app,,,,,,,Archived,"May 28, 2024","Jun 27, 2025",kanwalzs
sec_10k_decoder_without_rag,AI21 s Jamba Instruct Quickstart SEC 10K Decoder Without RAG,https://quickstarts.snowflake.com/guide/sec_10k_decoder_without_rag/index.html,camwasi,This quickstart will help you create a streamlit application to interact with Cortex's AI21's Jamba-Instruct,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,"Applications & Collaboration, AI",snowflake-site:taxonomy/product/ai,snowflake-site:taxonomy/product/applications-and-collaboration,Cortex,Apps & Collab: Build,snowflake-site:taxonomy/snowflake-feature/build,,Data Science,,,,Streamlit,App Development,AI,,,,,,Archived,"Jul 31, 2024","Jun 27, 2025",kanwalzs
Create-a-Route-Optimisation-and-Vehicle-Route-Plan-Simulator,Create a Route Optimization and Vehicle Route Plan Simulator,https://quickstarts.snowflake.com/guide/Create-a-Route-Optimisation-and-Vehicle-Route-Plan-Simulator/index.html,Becky O’Connor and Piotr Paczewski,"This tutorial leverages Snowflake Container Services, native apps, Geospatial Analytics, Streamlit, Cortex and the Open Route Service to optimize vehicle routes in order to distribute goods to chosen destinations on time.",Data-Sharing,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Applications & Collaboration,snowflake-site:taxonomy/product/applications-and-collaboration,,Cortex,Apps & Collab: Build,snowflake-site:taxonomy/snowflake-feature/build,,,Analytics - Geospatial,,,Streamlit,,,,,,,,Published,"Feb 19, 2025","Jun 27, 2025",sfc-gh-boconnor
dbt-projects-on-snowflake,Exploring dbt Projects on Snowflake,https://quickstarts.snowflake.com/guide/dbt-projects-on-snowflake/index.html,Charlie Hammond,This Quickstart will show you how to get started using dbt Projects on Snowflake,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,Data Engineering,Apps & Collab: External Collaboration,snowflake-site:taxonomy/snowflake-feature/external-collaboration,,Tasty Bytes,,,,,,,,,,,,Published,"Jun 25, 2025","Jun 27, 2025",sfc-gh-chammond
getting-started-with-llamaparse-and-cortex-search,Getting Started with LlamaParse and Cortex Search,https://quickstarts.snowflake.com/guide/getting-started-with-llamaparse-and-cortex-search/index.html,Josh Reini,Parse Documents with LlamaParse and Search with Cortex,,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/partner-solution,snowflake-site:taxonomy/solution-center/includes/architecture,https://www.snowflake.com/en/developers/solutions-center/how-to-build-a-rag-pipeline-with-llamaparse-and-snowflake-cortex/,Remove,,en,"Data Engineering, Applications & Collaboration",snowflake-site:taxonomy/product/data-engineering,snowflake-site:taxonomy/product/applications-and-collaboration,,Apps & Collab: Build,snowflake-site:taxonomy/snowflake-feature/build,,,,,,,,,,,,,,Published,"Jun 30, 2025","Jul 1, 2025",Josh Reini
e2emigration_sql_and_data,End to End Migration to Snowflake SQL Code Conversion and Data Migration,https://quickstarts.snowflake.com/guide/e2emigration_sql_and_data/index.html,Kuo Lun Lo,End-to-End Migration to Snowflake,Getting-Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Platform,snowflake-site:taxonomy/product/platform,,,Analytics: Migrations,snowflake-site:taxonomy/snowflake-feature/migrations,,,,,,,,,,,,,,,,,
getting_started_with_cortex_agents_and_amazon_q,Getting Started with Cortex Agents and Amazon Q,https://quickstarts.snowflake.com/guide/getting_started_with_cortex_agents_and_amazon_q/index.html,marzillo-snow,This is a quickstart for using Cortex Agents and Amazon Q,"Getting-Started, data-science, data-engineering, AWS, cortex, genai, Amazon, Q, search, LLM, copilot, Agents, Cortex",snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,"Applications & Collaboration, Platform",snowflake-site:taxonomy/product/platform,snowflake-site:taxonomy/product/applications-and-collaboration,,AI: Conversational Assistants,snowflake-site:taxonomy/snowflake-feature/ingestion/conversational-assistants,,,,,,,,,,,,,,,,,
getting_started_with_the_microsoft_teams_and_365_copilot_cortex_app,Getting Started with The Microsoft Teams and 365 Copilot Cortex App,https://quickstarts.snowflake.com/guide/getting_started_with_the_microsoft_teams_and_365_copilot_cortex_app/index.html,Matt Marzillo,This is a quickstart showing users how use the Microsoft Teams and 365 Copilot Cortex App,"AI, Cortex, Microsoft, Azure, Agents, Copilot, Teams, Search, Analyst",snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,"Applications & Collaboration, AI",snowflake-site:taxonomy/product/ai,snowflake-site:taxonomy/product/applications-and-collaboration,,,,,,,,,,,,,,,,,,,,
getting_started_with_time_series_using_snowflake_streaming_sis_ml_notebooks,Getting Started with Time Series Analytics for IoT in Snowflake,https://quickstarts.snowflake.com/guide/getting_started_with_time_series_using_snowflake_streaming_sis_ml_notebooks/index.html,nathan.birch@snowflake.com,Getting Started with Time Series Analytics for IoT in Snowflake,"getting-started,time-series,featured,data-engineering,streaming,streamlit,snowpark,cortex,solution-examples,snowflake",snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,"Applications & Collaboration, Data Engineering",snowflake-site:taxonomy/product/data-engineering,snowflake-site:taxonomy/product/applications-and-collaboration,,,,,,Analytics - Time Series Functions,snowflake-site:taxonomy/snowflake-feature/time-series-functions,,,,,,,,,,,,,
process-modin-dataframe-with-cortex,Build an AI Powered Data Processing Pipeline with Modin and Snowflake Cortex,https://quickstarts.snowflake.com/guide/process-modin-dataframe-with-cortex/index.html,Chanin Nantasenamat,"Learn how to process data using Modin DataFrames with Snowflake Cortex AI capabilities for text classification, translation, sentiment analysis, and more.","getting-started, data-engineering, streamlit, notebooks, snowflake, featured",snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,AI,snowflake-site:taxonomy/product/ai,,,,,,,AI - Cortex LLM,snowflake-site:taxonomy/snowflake-feature/cortex-llm-functions,,,,,,,,,,,,,
zero_to_snowflake,Zero to Snowflake,https://quickstarts.snowflake.com/guide/zero_to_snowflake/index.html,"Dureti Shemsi, Cameron Shimmin",Zero to Snowflake,"Tasty-Bytes, Getting-Started, Featured",snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Platform,snowflake-site:taxonomy/product/platform,,,,,,,,,,,,,,,,,,,,,
managing-risk-in-manufacturing,Manage Risk with a Digital Twin in Manufacturing Data using Neo4j Graph Analytics,https://quickstarts.snowflake.com/guide/managing-risk-in-manufacturing/index.html,laura manor,How to manage risk in manufacturing using Neo4j Graph Analytics for Snowflake,"getting-started,partner-integrations",snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,snowflake-site:taxonomy/industry/manufacturing,en,Analytics,snowflake-site:taxonomy/product/analytics,,corydonbaylor,,,,,,,,,,,,,,,,Published,"Jul 22, 2025","Aug 26, 2025",corydonbaylor
building-retail-analytics-de-pipeline,Build a Retail Analytics Data Engineering Pipeline with Snowflake,https://quickstarts.snowflake.com/guide/building-retail-analytics-de-pipeline/index.html,Phani Raj,"Build a comprehensive retail analytics pipeline using Snowflake's modern data engineering features including Snowpark DB APIs, Snowpark APIS, Cortex AI, managed Iceberg tables, streamlit and using Snowflake Trail for Observability.","featured,getting-started,data-engineering,app-development",snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,snowflake-site:taxonomy/industry/retail-and-cpg,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,sfc-gh-praj,,,,,,,,,,,,,,,,Published,"Jul 24, 2025","Jul 24, 2025",sfc-gh-praj
finding-similar-patients,Identify Similar Patient Journeys in Healthcare Data with Neo4j Graph Analytics,https://quickstarts.snowflake.com/guide/finding-similar-patients/index.html,corydon baylor,How to find communities affected by fraud using louvain in Neo4j Graph Analytics for Snowflake,"getting-started,partner-integrations",snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,snowflake-site:taxonomy/industry/healthcare-and-life-sciences,en,Analytics,snowflake-site:taxonomy/product/analytics,,corydonbaylor,,,,,,,,,,,,,,,,Published,"Jul 30, 2025","Aug 26, 2025",corydonbaylor
connectors_postgresql_cdc,Real Time Financial Insights Using Change Data Capture CDC with the Snowflake Connector for PostgreSQL and Dynamic Tables,https://quickstarts.snowflake.com/guide/connectors_postgresql_cdc/index.html,Joviane Bellegarde,CDC Data from PostgreSQL to Snowflake,"CDC, Getting-Started, Connectors, Dynamic Tables",snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,snowflake-site:taxonomy/industry/financial-services,en,Platform,snowflake-site:taxonomy/product/platform,,sfc-gh-jbellegarde,,,,,,,,,,,,,,,,Published,"Jul 30, 2025","Jul 30, 2025",sfc-gh-jbellegarde
data_collaboration_native_app,Getting Started With Model Sharing Using Native Apps,https://quickstarts.snowflake.com/guide/data_collaboration_native_app/index.html,Tim Buchhorn,"This Quickstart will take you through how to build an ML Model in Snowlfake, and then share it via the Snowflake Native App Framework.",data-applications,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,AI,snowflake-site:taxonomy/product/ai,,sfc-gh-tbuchhorn,,,,,Apps & Collab - Native Apps,snowflake-site:taxonomy/snowflake-feature/native-apps,,,,,,,,,,Published,"Aug 1, 2025","Aug 1, 2025",sfc-gh-tbuchhorn
getting-started-with-snowflake-intelligence,Getting Started with Snowflake Intelligence,https://quickstarts.snowflake.com/guide/getting-started-with-snowflake-intelligence/index.html,Dash Desai,This guide outlines the process for getting started with Snowflake Intelligence.,"featured,getting-started,data-science-&-ml,app-development",snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Platform,snowflake-site:taxonomy/product/platform,,iamontheinet,,,,,,,,,,,,,,,,Published,"Aug 4, 2025","Aug 20, 2025",iamontheinet
getting-started-with-snowflake-intelligence-and-cke,Getting Started with Snowflake Intelligence and Cortex Knowledge Extensions,https://quickstarts.snowflake.com/guide/getting-started-with-snowflake-intelligence-and-cke/index.html,Dash Desai,This guide outlines the process for getting started with Snowflake Intelligence and Cortex Knowledge Extensions.,"featured,getting-started,data-science-&-ml,app-development",snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Platform,snowflake-site:taxonomy/product/platform,,iamontheinet,,,,,,,,,,,,,,,,Published,"Aug 4, 2025","Aug 12, 2025",iamontheinet
getting_started_with_snowflake_cluster_key_selection,A Data Driven Methodology for Choosing a Snowflake Clustering Key,https://quickstarts.snowflake.com/guide/getting_started_with_snowflake_cluster_key_selection/index.html,Ember Crooks,This is a hands-on guide to choosing a Snowflake clustering key,"Resource-Optimization, Getting-Started, Snowflake",snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Platform,snowflake-site:taxonomy/product/platform,,sfc-gh-ecrooks,,,,,,,,,,,,,,,,Published,"Aug 5, 2025","Aug 5, 2025",sfc-gh-ecrooks
call_center_analytics_with_ai_transcribe_and_cortex_agents,Call Center Analytics with AI TRANSCRIBE and Cortex Agents,https://quickstarts.snowflake.com/guide/call_center_analytics_with_ai_transcribe_and_cortex_agents/index.html,Charlie Hammond,This guide provides step-by-step details for building call center analytics using AI_TRANSCRIBE and Cortex Agents with simplified setup,"Getting-Started,data-science, Ai",snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,AI,snowflake-site:taxonomy/product/ai,,sfc-gh-chammond,,,,,,,,,,,,,,,,Published,"Aug 6, 2025","Aug 6, 2025",sfc-gh-chammond
e2e-task-graph,Orchestrate ML Pipelines with ML Jobs and Task Graphs,https://quickstarts.snowflake.com/guide/e2e-task-graph/index.html,David Hung,"Learn how to build an end-to-end machine learning pipeline using Snowflake Task Graphs and ML Jobs, including data preparation, model training, evaluation, and conditional promotion.","featured, getting-started, data-engineering, snowflake",snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,AI,snowflake-site:taxonomy/product/ai,,sfc-gh-dhung,,,,,,,,,,,,,,,,Published,"Aug 7, 2025","Sep 15, 2025",sfc-gh-dhung
getting_started_with_multimodal_analysis_on_snowflake_cortex,Getting Started with Multimodal Analysis on Snowflake Cortex AI,https://quickstarts.snowflake.com/guide/getting_started_with_multimodal_analysis_on_snowflake_cortex/index.html,James Cha-Earley,Getting Started with Multimodal Analysis on Snowflake Cortex,getting-started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,AI,snowflake-site:taxonomy/product/ai,,jamescha-earley,,,,,,,,,,,,,,,,Published,"Aug 7, 2025","Aug 7, 2025",jamescha-earley
